"train/global_step","teacher_ckpt - _step","teacher_ckpt - _step__MIN","teacher_ckpt - _step__MAX","teacher_ckpt - eval/loss","teacher_ckpt - eval/loss__MIN","teacher_ckpt - eval/loss__MAX"
"860","225","152","281","0.740142552057902","0.7113546133041382","0.7737014889717102"
"1720","203.66666666666666","157","257","0.7531928420066833","0.6944993138313293","0.789664626121521"
"2580","198","162","232","0.7464263677597046","0.6879347562789917","0.7661420702934265"
"13750","68","68","68","0.2921171486377716","0.2921171486377716","0.2921171486377716"
"27500","138","138","138","0.24759076535701752","0.24759076535701752","0.24759076535701752"
