"train/global_step","teacher_ckpt - _step","teacher_ckpt - _step__MIN","teacher_ckpt - _step__MAX","teacher_ckpt - train/loss","teacher_ckpt - train/loss__MIN","teacher_ckpt - train/loss__MAX"
"9200","45","45","45","0.3663","0.3663","0.3663"
"9400","46","46","46","0.3847","0.3847","0.3847"
"9600","47","47","47","0.3477","0.3477","0.3477"
"9800","48","48","48","0.3809","0.3809","0.3809"
"10000","49","49","49","0.3717","0.3717","0.3717"
"10200","50","50","50","0.3832","0.3832","0.3832"
"10400","51","51","51","0.3779","0.3779","0.3779"
"10600","52","52","52","0.369","0.369","0.369"
"10800","53","53","53","0.3648","0.3648","0.3648"
"11000","54","54","54","0.3587","0.3587","0.3587"
"11200","55","55","55","0.3674","0.3674","0.3674"
"11400","56","56","56","0.3658","0.3658","0.3658"
"11600","57","57","57","0.3709","0.3709","0.3709"
"11800","58","58","58","0.3568","0.3568","0.3568"
"12000","59","59","59","0.3548","0.3548","0.3548"
"12200","60","60","60","0.3651","0.3651","0.3651"
"12400","61","61","61","0.3568","0.3568","0.3568"
"12600","62","62","62","0.3481","0.3481","0.3481"
"12800","63","63","63","0.3512","0.3512","0.3512"
"13000","64","64","64","0.3747","0.3747","0.3747"
"13200","65","65","65","0.3636","0.3636","0.3636"
"13400","66","66","66","0.3485","0.3485","0.3485"
"13600","67","67","67","0.353","0.353","0.353"
"13800","69","69","69","0.3463","0.3463","0.3463"
"14000","70","70","70","0.2887","0.2887","0.2887"
"14200","71","71","71","0.3013","0.3013","0.3013"
"14400","72","72","72","0.2875","0.2875","0.2875"
"14600","73","73","73","0.2796","0.2796","0.2796"
"14800","74","74","74","0.2727","0.2727","0.2727"
"15000","75","75","75","0.2991","0.2991","0.2991"
"15200","76","76","76","0.2783","0.2783","0.2783"
"15400","77","77","77","0.2887","0.2887","0.2887"
"15600","78","78","78","0.3058","0.3058","0.3058"
"15800","79","79","79","0.2867","0.2867","0.2867"
"16000","80","80","80","0.29","0.29","0.29"
"16200","81","81","81","0.2871","0.2871","0.2871"
"16400","82","82","82","0.2894","0.2894","0.2894"
"16600","83","83","83","0.2884","0.2884","0.2884"
"16800","84","84","84","0.2971","0.2971","0.2971"
"17000","85","85","85","0.293","0.293","0.293"
"17200","86","86","86","0.2715","0.2715","0.2715"
"17400","87","87","87","0.2854","0.2854","0.2854"
"17600","88","88","88","0.2663","0.2663","0.2663"
"17800","89","89","89","0.2818","0.2818","0.2818"
"18000","90","90","90","0.2937","0.2937","0.2937"
"18200","91","91","91","0.291","0.291","0.291"
"18400","92","92","92","0.2811","0.2811","0.2811"
"18600","93","93","93","0.2592","0.2592","0.2592"
"18800","94","94","94","0.2966","0.2966","0.2966"
"19000","95","95","95","0.2799","0.2799","0.2799"
"19200","96","96","96","0.2707","0.2707","0.2707"
"19400","97","97","97","0.2766","0.2766","0.2766"
"19600","98","98","98","0.2796","0.2796","0.2796"
"19800","99","99","99","0.2853","0.2853","0.2853"
"20000","100","100","100","0.2824","0.2824","0.2824"
"20200","101","101","101","0.295","0.295","0.295"
"20400","102","102","102","0.2787","0.2787","0.2787"
"20600","103","103","103","0.2758","0.2758","0.2758"
"20800","104","104","104","0.2665","0.2665","0.2665"
"21000","105","105","105","0.2651","0.2651","0.2651"
"21200","106","106","106","0.2717","0.2717","0.2717"
"21400","107","107","107","0.2732","0.2732","0.2732"
"21600","108","108","108","0.2709","0.2709","0.2709"
"21800","109","109","109","0.2651","0.2651","0.2651"
"22000","110","110","110","0.2837","0.2837","0.2837"
"22200","111","111","111","0.2506","0.2506","0.2506"
"22400","112","112","112","0.2651","0.2651","0.2651"
"22600","113","113","113","0.2588","0.2588","0.2588"
"22800","114","114","114","0.2669","0.2669","0.2669"
"23000","115","115","115","0.2705","0.2705","0.2705"
"23200","116","116","116","0.2706","0.2706","0.2706"
"23400","117","117","117","0.2776","0.2776","0.2776"
"23600","118","118","118","0.2698","0.2698","0.2698"
"23800","119","119","119","0.2598","0.2598","0.2598"
"24000","120","120","120","0.2864","0.2864","0.2864"
"24200","121","121","121","0.2671","0.2671","0.2671"
"24400","122","122","122","0.2583","0.2583","0.2583"
"24600","123","123","123","0.2568","0.2568","0.2568"
"24800","124","124","124","0.2812","0.2812","0.2812"
"25000","125","125","125","0.2491","0.2491","0.2491"
"25200","126","126","126","0.2497","0.2497","0.2497"
"25400","127","127","127","0.2753","0.2753","0.2753"
"25600","128","128","128","0.2677","0.2677","0.2677"
"25800","129","129","129","0.2729","0.2729","0.2729"
"26000","130","130","130","0.2696","0.2696","0.2696"
"26200","131","131","131","0.2772","0.2772","0.2772"
"26400","132","132","132","0.2592","0.2592","0.2592"
"26600","133","133","133","0.242","0.242","0.242"
"26800","134","134","134","0.25","0.25","0.25"
"27000","135","135","135","0.252","0.252","0.252"
"27200","136","136","136","0.2526","0.2526","0.2526"
"27400","137","137","137","0.2699","0.2699","0.2699"
