"train/global_step","teacher_ckpt - _step","teacher_ckpt - _step__MIN","teacher_ckpt - _step__MAX","teacher_ckpt - train/loss","teacher_ckpt - train/loss__MIN","teacher_ckpt - train/loss__MAX"
"200","199.94444444444446","0","277","2.308877777777777","1.0357","3.6648"
"400","200.94444444444446","1","278","1.535588888888889","0.3545","3.5946"
"600","201.94444444444446","2","279","1.3614944444444443","0.3081","3.487"
"800","202.94444444444446","3","280","1.267983333333333","0.2839","3.3744"
"1000","171.71428571428572","4","253","1.2106285714285714","0.2579","2.132"
"1200","172.71428571428572","5","254","1.151742857142857","0.2472","2.0334"
"1400","173.71428571428572","6","255","1.112842857142857","0.2473","1.9599"
"1600","174.71428571428572","7","256","1.0905285714285713","0.238","1.8992"
"1800","163","8","228","1.1959666666666668","0.7607","1.86"
"2000","164","9","229","1.1825666666666665","0.744","1.832"
"2200","165","10","230","1.16685","0.6648","1.8109"
"2400","166","11","231","1.1468","0.6665","1.7917"
"2600","12","12","12","0.63","0.63","0.63"
"2800","13","13","13","0.6055","0.6055","0.6055"
"3000","14","14","14","0.5961","0.5961","0.5961"
"3200","15","15","15","0.5726","0.5726","0.5726"
"3400","16","16","16","0.5304","0.5304","0.5304"
"3600","17","17","17","0.524","0.524","0.524"
"3800","18","18","18","0.5332","0.5332","0.5332"
"4000","19","19","19","0.5202","0.5202","0.5202"
"4200","20","20","20","0.5353","0.5353","0.5353"
"4400","21","21","21","0.5141","0.5141","0.5141"
"4600","22","22","22","0.5026","0.5026","0.5026"
"4800","23","23","23","0.4858","0.4858","0.4858"
"5000","24","24","24","0.4821","0.4821","0.4821"
"5200","25","25","25","0.4636","0.4636","0.4636"
"5400","26","26","26","0.4536","0.4536","0.4536"
"5600","27","27","27","0.4821","0.4821","0.4821"
"5800","28","28","28","0.4342","0.4342","0.4342"
"6000","29","29","29","0.4529","0.4529","0.4529"
"6200","30","30","30","0.4411","0.4411","0.4411"
"6400","31","31","31","0.4356","0.4356","0.4356"
"6600","32","32","32","0.4376","0.4376","0.4376"
"6800","33","33","33","0.42","0.42","0.42"
"7000","34","34","34","0.4386","0.4386","0.4386"
"7200","35","35","35","0.4338","0.4338","0.4338"
"7400","36","36","36","0.4106","0.4106","0.4106"
"7600","37","37","37","0.4256","0.4256","0.4256"
"7800","38","38","38","0.3918","0.3918","0.3918"
"8000","39","39","39","0.4014","0.4014","0.4014"
"8200","40","40","40","0.404","0.404","0.404"
"8400","41","41","41","0.3918","0.3918","0.3918"
"8600","42","42","42","0.3833","0.3833","0.3833"
"8800","43","43","43","0.3998","0.3998","0.3998"
"9000","44","44","44","0.359","0.359","0.359"
